year,harvest
 2016/17,3848
 2017/18,4492
 2018/19,4260
 2019/20,4976
 2020/21,4493
 2021/22,4495
 2022/23,4497
 2023/24,4540
 2024/25,4582
 2025/26,4625
 2026/27,4667
 2027/28,4710
 2028/29,4750
