year,harvest
 2016/17,1253
 2017/18,961
 2018/19,1174
 2019/20,1087
 2020/21,1049
 2021/22,1049
 2022/23,1070
 2023/24,1070
 2024/25,1070
 2025/26,1070
 2026/27,1070
 2027/28,1070
 2028/29,1070
