year,harvest
 2016/17,161625
 2017/18,161658
 2018/19,161985
 2019/20,162666
 2020/21,162819
 2021/22,163040
 2022/23,163400
 2023/24,163722
 2024/25,164002
 2025/26,164246
 2026/27,164512
 2027/28,164798
 2028/29,165036
