year,harvest
 2016/17,49293
 2017/18,48122
 2018/19,48759
 2019/20,49890
 2020/21,50069
 2021/22,50171
 2022/23,50238
 2023/24,50393
 2024/25,50477
 2025/26,50604
 2026/27,50772
 2027/28,50877
 2028/29,50996
